Data,Adreça,Adreça geo,Hora,Entitat,Latitude,Longitude,data,direccio,direccio geo,demandant,resolucio,hashtag,rao,latitude,longitude,match
14/02/2018,,,,,,,14/2/2018,"C/ Batet, 14, bajos 2ª de Barcelona (08032 El Carmelo)","Carrer de Batet, 14, bajos 2ª, 08032 Barcelona, Spain",BANKIA,SUSPES,,Desnonaments per ocupació,41.4206912,2.1507606,
14/02/2018,C/ Rasos de Peguera 74 i 112,"Av. dels Rasos de Peguera, 74, 08033 Barcelona, Spain",12:00,️ AAVV Ciutat Meridiana,41.4606122,2.1768723,,,,,,,,,,
14/02/2018,Via Favència 293-295,"Via Favència, 293, 08033 Barcelona, Spain",10:30,500x20,41.4467339,2.1828528,,,,,,,,,,
15/02/2018,,,,,,,15/2/2018,"Avda. Roma, 120, 1º5ª de Barcelona (08015)","Av. de Roma, 120, 08015 Barcelona, Spain",BBVA,SUSPES,,Desnonaments per hipoteca,41.3847254,2.1538793,
15/02/2018,"C/ Sant Climent, 12","Carrer d'En Sant Climent, 12, 08001 Barcelona, Spain",09:15,️ Veines Raval,41.3787769,2.165289,,,,,,,,,,
15/02/2018,C/ Ferrocarrils Catalans 75-77,"Carrer dels Vergós, 44, 08017 Barcelona, Spain",09:00,XSM La Marina - Zona Franca,41.3973229,2.1265586,,,,,,,,,,
15/02/2018,"C/ Aviador Franco, 12","Carrer l'Aviador Franco, 12, 08038 Barcelona, Spain",09:00,️ XSM La Marina - Zona Franca,41.3605456,2.141324,,,,,,,,,,
15/02/2018,C/ Arago 60 (Metro Rocafort),"Carrer d'Aragó, 60, 08015 Barcelona, Spain",11:00 (ha canviat l'hora),GHAS,41.3818687,2.1513448,,,,,,,,,,
16/02/2018,"Rambla del Poblenou, 92 (Metro Llacuna)","Rambla del Poblenou, 92, 08005 Barcelona, Spain",10:15,PAH Bcn,41.4020776,2.2001022,16/2/2018,"Rambla del Poble Nou, 92, 4º4ª de Barcelona (08005 Poble Nou)","Rambla del Poblenou, 92, 08005 Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaTheo,Desnonaments per lloguer,41.4020776,2.2001022,x
20/02/2018,,,,,,,20/2/2018,"Sant Francesc Xavier, 16, 3º1ª de l’Hospitalet de Llobregat","Carrer Sant Francesc Xavier, 16, 08905 L'Hospitalet de Llobregat, Barcelona, Spain","CATALUNYA BANC, S.A. – HIPOCAT 7.FTA BBVA",SUSPES,#AliciaSeQueda,Desnonaments per hipoteca,41.367144,2.1080358,
20/02/2018,,,,,,,20/2/2018,"Arc de Sant Martí, 83 bjs.  de Barcelona (08032)","Carrer de l'Arc de Sant Martí, 83, 08032 Barcelona, Spain",Inmb.   ATURAT  en porta,ATURAT  en porta,#SoluciónParaFatima,Desnonaments per lloguer,41.4230928,2.1719761,
20/02/2018,"C/ Pons i Pons, 19","Carrer Pons i Pons, 19, 08923 Santa Coloma de Gramenet, Barcelona, Spain",10:30,PAHV Gramanet,41.4444571,2.2128491,,,,,,,,,,
20/02/2018,"C/ Espriu, 11","Carrer de Salvador Espriu, 11, 08005 Barcelona, Spain",12:00,PAHV Gramanet,41.386945,2.1942985,,,,,,,,,,
21/02/2018,,,,,,,21/2/2018,"Nou de la Rambla, 99, 1º1ª de Barcelona – (08001 El Raval)","Carrer Nou de la Rambla, 3-5, 08001 Barcelona, Spain","IHEDRIA SPAIN, S.L..",SUSPES,#HaffaSeQueda,Desnonaments per lloguer,41.3788851,2.1742398,
21/02/2018,,,,,,,21/2/2018,"Sant Pere Mitja, 67, principal 2ª de Barcelona (08003)","Carrer de Sant Pere Mitjà, 67, 2ª, 08003 Barcelona, Spain","MAC – 5, S.L.",ATURAT en porta,#SoluciónParaLamia,Desnonaments per lloguer,41.3886539,2.1782042,
21/02/2018,"C/ Blasco de Garay, 48","Carrer de Blasco de Garay, 48, 08004 Barcelona, Spain",09:30,️ Sindicat de Barri de Poble Sec,41.3726349,2.1624249,,,,,,,,,,
21/02/2018,"C/ Sant Antoni Abat, 8","Carrer de Sant Antoni Abat, 8, 08001 Barcelona, Spain",08:30,️ Raval Resistim,41.3794732,2.1655686,21/2/2018,"Sant Antoni Abat, 5, 1º2ª de Barcelona (08001)","Carrer de Sant Antoni Abat, 5, 08001 Barcelona, Spain","PROMOCIONES Y DESARROLLOS BUILDING 2010, S.L.",ATURAT en porta,#NeusSeQueda,Desnonaments per ocupació,41.3793856,2.1656948,x
21/02/2018,"C/ Sant Erasme, 7","Carrer de Sant Erasme, 7, 08001 Barcelona, Spain",10:30,️ Raval Resistim,41.3812886,2.1645333,21/2/2018,"C/ Sant Erasme, 7, 1º2ª, interior de Barcelona (08001)","Carrer de Sant Erasme, 7, 08001 Barcelona, Spain",BANKIA,SUSPES,#CeciliaSeQueda,Desnonaments per hipoteca,41.3812886,2.1645333,x
21/02/2018,"C/ Cuba, 35","Av. de Mistral, 33, 08015 Barcelona, Spain",11:30,P.A.C Badalona,41.3766091,2.1570687,,,,,,,,,,
21/02/2018,"C/ Perú, 76","Barcelona, Spain",12:00,P.A.C Badalona,41.3850639,2.1734035,,,,,,,,,,
21/02/2018,"C/ Cervantes, 27-33","Carrer de Cervantes, 27, 08912 Badalona, Barcelona, Spain",12:15,P.A.C Badalona,41.43919,2.24157,,,,,,,,,,
23/02/2018,"C/ Irlanda, 79","Carrer d'Irlanda, 79, 08922 Santa Coloma de Gramenet, Barcelona, Spain",11:30,️ PAHV Gramanet,41.4491114,2.2144957,,,,,,,,,,
23/02/2018,"C/ Príncep Jordi, 8","Carrer del Príncep Jordi, 8, 08014 Barcelona, Spain",08:30,️ GHAS,41.3759272,2.1467329,,,,,,,,,,
23/02/2018,"C/ del Moianès, 12 (Metro Hostafrancs)","Carrer del Moianès, 12, 08014 Barcelona, Spain",08:30,PAH Bcn,41.3708689,2.1425447,23/2/2018,"C/ Moianes, 12 – 14, Entlº 4ºD  (08014)","El Moianès, Moià, Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaNatividad,Desnonaments per ocupació,41.8310862,2.0959429,x
23/02/2018,"C/ Esteras, 15 (Metro Santa Eulàlia)","Carrer d'Esteràs, 15, 08028 Barcelona, Spain",08:30,PAH Bcn,41.3708034,2.1295774,23/2/2018,"C/ Esteras, 15, 5º5ª de Barcelona (08028 Sants)","Carrer d'Esteràs, 15, 08028 Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaMarina,Desnonaments per lloguer,41.3708034,2.1295774,x
26/02/2018,,,,,,,26/2/2018,"Avda. Rasos de Peguera. 82, 2º1ª de Barcelona (08033 Ciutat Meridiana)","Av. dels Rasos de Peguera, 82, 08033 Barcelona, Spain",Inmb.,SUSPES,#SoluciónParaElisenda,Desnonaments per lloguer,41.4606271,2.1762119,
26/02/2018,"C/ Doctor Modrego, 24","Carrer del Dr. Modrego, 24, 08918 Badalona, Barcelona, Spain",12:30,️ PAC Badaloma,41.4383801,2.2302209,,,,,,,,,,
27/02/2018,"C/ Beates, 1","Carrer de les Beates, 1, 08003 Barcelona, Spain",09:30,️ Resistim al Gòtic,41.3862566,2.1766192,,,,,,,,,,
28/02/2018,,,,,,,28/2/2018,"C/ Goya, 5, 8º2ª de Sant Adria del Besos","Carrer Goya, 5, 08930 Barcelona, Spain","CATALUNYA BANC, S.A. (BBVA)",SUSPES,#BetsySeQueda,Desnonaments per ocupació,41.4217033,2.2137039,
28/02/2018,,,,,,,28/2/2018,"C/ Valencia, 648, 3º de Barcelona (08026)",,Inmb.,ATURAT en porta,#SoluciónParaXavier,Desnonaments per ocupació,,,
28/02/2018,C/ Joan de Peguera amb C/ Nació,"Carrer de Joan de Peguera, 75, 08026 Barcelona, Spain",08:30,OHT Clot-Camp de l'Arpa,41.4142998,2.1825002,28/2/2018,"C/ Joan de Peguera, 84, bjs. Izqd. de Barcelona (08026)","Carrer de Joan de Peguera, 84, 08026 Barcelona, Spain",Inmb.,SUSPES,#SoluciónParaMartha,Desnonaments per lloguer,41.4144505,2.1826907,x
01/03/2018,,,,,,,1/3/2018,"C/ Parcerisa, 12, entlº 4ª, izq. de Barcelona (08014) mercat Nou","Carrer de Parcerisa, 12, 08014 Barcelona, Spain",Inmb,ATURAT en porta,#SoluciónParaFatima,Desnonaments por lloguer,41.3688218,2.1344538,
01/03/2018,"C/ Floridablanca, 31 (Metro La Salut)","Carrer de Floridablanca, 31, 08015 Barcelona, Spain",11:30,P.A.C Badalona,41.3767988,2.1557971,,,,,,,,,,
01/03/2018,"C/ Pablo Iglesias, 12 (Metro La Salut)","Carrer de Pablo Iglesias, 12, 08016 Barcelona, Spain",12:00,P.A.C Badalona,41.442559,2.1811606,,,,,,,,,,
01/03/2018,"C/ Alfonso XIII, 567 (Metro Artigues-Sant Adrià)","Av. d'Alfons XIII, 567, 08918 Santa Coloma de Gramenet, Barcelona, Spain",12:30,P.A.C Badalona,41.4335944,2.2177869,,,,,,,,,,
02/03/2018,,,,,,,2/3/2018,"Gran Vista, 98, interior planta alta de Barcelona (08032)","Carrer de la Gran Vista, 98, 08032 Barcelona, Spain",Inmb,ATURAT en porta,#SoluciónParaRosario,Desnonaments por lloguer,41.420608,2.1612671,
02/03/2018,C/ Les Agudes 58,"Carrer de les Agudes, 58, 08033 Barcelona, Spain",09:00,️ AAVV Ciutat Meridiana,41.4632348,2.1786158,,,,,,,,,,
05/03/2018,"C/ Robadors, 4 (09:00h)","Carrer d'En Robador, 4, 08001 Barcelona, Spain",De 09:00 a 11:30h,️ Raval contra la Violència Immobiliària,41.380075,2.1702099,,,,,,,,,,
05/03/2018,"C/ Aurora, 19 (10:00h)","Carrer de l'Aurora, 19, 08001 Barcelona, Spain",De 09:00 a 11:30h,️ Raval contra la Violència Immobiliària,41.3781075,2.1674071,,,,,,,,,,
05/03/2018,"C/ Lluna, 27 (11:30h)","Carrer de la Lluna, 27, 08001 Barcelona, Spain",De 09:00 a 11:30h,️ Raval contra la Violència Immobiliària,41.3815769,2.165434,,,,,,,,,,
05/03/2018,C/ Napols 26 (La Salut),"Carrer de Nàpols, 26, 08018 Barcelona, Spain",08:00,️ P.A.C Badalona,41.391815,2.1842539,,,,,,,,,,
06/03/2018,C/ Berenguer de Palou 51,"Carrer de Berenguer de Palou, 51, 08027 Barcelona, Spain",09:00,️ P.A.H Barcelona,41.4242642,2.1915289,6/3/2018,"C/ Berenguer de Palou, 51, planta baja de Barcelona (08027)","Carrer de Berenguer de Palou, 51, 08027 Barcelona, Spain",CAIXABANK BUILDINGCENTER,ATURAT en porta,#GabrielSeQueda,Desnonaments per ocupació,41.4242642,2.1915289,x
07/03/2018,C/ Sant Frederic 6,"Carrer de Sant Frederic, 6, 08028 Barcelona, Spain",12:00,️ P.A.C Badalona,41.3735369,2.1286462,,,,,,,,,,
08/03/2018,,,,,,,8/3/2018,"C/ Finestrelles, 66, ático 1ª de Barcelona (08033)","Carrer de Finestrelles, 66, 1ª, 08033 Barcelona, Spain",BANKIA.,ATURAT en porta,#AvamindraSeQueda,Desnonaments por lloguer,41.4528165,2.190644,
08/03/2018,C/ Mare Eterna 34-36,"Carrer de la Mare Eterna, 34, 08030 Barcelona, Spain",09:00,️ 500x20,41.4348621,2.2033626,,,,,,,,,,
08/03/2018,"C/ Xile, 37","Passatge de Xile, 37, 08028 Barcelona, Spain",9:15,P.A.C Badalona,41.3763646,2.1149379,,,,,,,,,,
09/03/2018,,,,,,,9/3/2018,"Plaça Pau Vila, 13, 1º4ª de Barcelona (08003)","Plaça de Pau Vila, 13, 08003 Barcelona, Spain",SOLVIA – BACO SABADELL,SUSPES,#CarlosSeQueda,Desnonaments por lloguer,41.3826242,2.1854415,
12/03/2018,C/ Simancas 52,"Carrer de Simancas, 52, 08042 Barcelona, Spain",10:30,P.A.C Badalona,41.445623,2.1742326,,,,,,,,,,
13/03/2018,"C/ de Roger, 31 (Metro Badal)","Carrer de Roger de Llúria, 31, 08009 Barcelona, Spain",8:30,PAH Barcelona,41.3919361,2.1701037,13/3/2018,"C/ Roger, 31, bajos de Barcelona (Sants 08028)","Barcelona, Spain","FINCAS ARMENGOL, S.C.P.",ATURAT en porta,#SoluciónParaCristina,Desnonaments por lloguer,41.3850639,2.1734035,x
13/03/2018,"C/ de l'Estrella, 3-5 (Metro Rambla Just Oliveras)","Carrer d'Ocata, 6, 08003 Barcelona, Spain",9:30,PAH Barcelona,41.3837651,2.185069,13/3/2018,"C/ Estrella, 3-5, bajos 1ª de L’Hospitalet de Ll.","Av. Mare de Déu de Bellvitge, 3, 08907 L´Hospitalet de Llobregat, Barcelona, Spain","UNNIM SOCIEDAD PARA LA GESTION DE ACTIVOS INMOBILIARIOS, S.A.U.",ATURAT en porta,#HassanSeQueda,Desnonaments per ocupació,41.3467071,2.1081472,x
13/03/2018,"C/ del Princep Jordi, 8 (Metro Espanya)","Carrer del Príncep Jordi, 8, 08014 Barcelona, Spain",9:00,GHAS,41.3759272,2.1467329,,,,,,,,,,
13/3/2018,"C/ del Mas Marí, 63","Carrer del Mas Marí, 63, 08923 Santa Coloma de Gramenet, Barcelona, Spain",12:00,PAHV Gramanet,41.4467879,2.2176524,,,,,,,,,,
14/3/2018,"C/ Espriu, 11","Carrer de Salvador Espriu, 11, 08005 Barcelona, Spain",12:30,️ PAHV Gramanet,41.386945,2.1942985,,,,,,,,,,
14/03/2018,C/ Sardana 1,"Barcelona, Spain",09:30,P.A.C Badalona,41.3850639,2.1734035,,,,,,,,,,
14/03/2018,C/ Via Julia 39,"Via Júlia, 39, 08042 Barcelona, Spain",09:00,500x20,41.4403893,2.1760157,14/3/2018,"Vía Julia, 39, 4º1ª de Barcelona (08042 Nou Barris)","Via Júlia, 39, 08042 Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaObinze,Desnonaments por lloguer,41.4403893,2.1760157,x
14/03/2018,"C/ Subur, 13 (Metro Florida)","Barcelona, Spain",09:30,PAH Barcelona,41.3850639,2.1734035,14/3/2018,"C/ Subur, 13, entlº de l’Hospitalet de Ll. (08905 La Florida)","Carrer de Rosalia de Castro, 39, 08901 L'Hospitalet de Llobregat, Barcelona, Spain",Imnb..,SUSPES,#SoluciónParaSouhaila,Desnonaments por lloguer,41.3656272,2.1158408,x
15/3/2018,"C/ Creu de Molers, 24","Carrer de la Creu dels Molers, 24, 08004 Barcelona, Spain",09:00,️ SdB Poble Sec,41.3734244,2.1615017,,,,,,,,,,
15/03/2018,"C/ de la Mineria, 62 (La Campana)","Carrer de la Mineria, 62, 08038 Barcelona, Spain",08:30,PAH Barcelona,41.3673383,2.1403518,15/3/2018,"C/ Mineria, 62 A, entlº 3ª de Barcelona (08038 Sants-Montjuic)","Barcelona, Spain",BANC SABADELL.,SUSPES,#EneSeQueda,Desnonaments por lloguer,41.3850639,2.1734035,x
15/03/2018,"C/ dels Assaonadors, 23 (Metro Jaume I)","Carrer dels Assaonadors, 23, 08003 Barcelona, Spain",08:30,PAH Barcelona,41.3861693,2.1810457,15/3/2018,"C/ Assaonadors, 23, principal 1ª de Barcelona (08003)","Carrer dels Assaonadors, 23, 1ª, 08003 Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaJessica,Desnonaments per ocupació,41.3861693,2.1810457,x
15/03/2018,"C/ d'Elkano, 5 (Metro Paral·lel)","Carrer d'Elkano, 5, 08004 Barcelona, Spain",08:30,PAH Barcelona,41.3723113,2.1655538,15/3/2018,"C/ Elkano, 5-7, 3º2ª de Barcelona (08004)","Carrer d'Elkano, 5, 08004 Barcelona, Spain","KEREN BUSINESS DEVELOPMENT, S.L.",ATURAT en porta,#SoluciónParaNairobi,Desnonaments per ocupació,41.3723113,2.1655538,x
15/03/2018,"C/ de Nàpols, 45","Carrer de Nàpols, 45, 08018 Barcelona, Spain",10:00,PAHV Gramenet,41.3925119,2.1827626,,,,,,,,,,
19/03/2018,"C/ del Sant Crist, 61 (Metro Pl. Sants)","Carrer del Sant Crist, 61, 08014 Barcelona, Spain",09:15,PAH Barcelona,41.3743155,2.1375932,19/3/2018,"C. de Sant Crist, 61","Carrer del Sant Crist, 61, 08014 Barcelona, Spain",Inmb,ATURAT en porta,#SoluciónParaAmina,Desnonaments por lloguer,41.3743155,2.1375932,x
20/03/2018,"C/ Roger de Llúria, 38-40","Carrer de Roger de Llúria, 38, 08009 Barcelona, Spain",08:30,PAHV Gramenet,41.3919729,2.1705642,,,,,,,,,,
20/03/2018,Av. Santa Coloma 46,"Avinguda de Santa Coloma, 46, 08922 Santa Coloma de Gramenet, Barcelona, Spain",11:00,PAHV Gramenet,41.4483895,2.2076862,,,,,,,,,,
20/03/2018,"C/ Florència, 61","Florence, Metropolitan City of Florence, Italy",12:00,PAHV Gramenet,43.7695604,11.2558136,,,,,,,,,,
20/03/2018,"C/ d'Alonso Cano, 4 (Metro Llucmajor)","Carrer d'Alonso Cano, 4, 08042 Barcelona, Spain",10:30,500x20,41.4415293,2.1730595,,,,,,,,,,
21/03/2018,,,,,,,21/3/2018,"Josep María Trias de Bes, 3, 2º2ª de San Juan Despi (Barcelona)","Carrer Josep Maria Trias de Bes, 3, 08970 Sant Joan Despí, Barcelona, Spain",BBVA,SUSPES,#SounyaSeQueda,Desnonaments per hipoteca,41.3674554,2.0713648,
21/03/2018,,,,,,,21/3/2018,C. de la Muga 4,"17732 Sant Llorenç de la Muga, Girona, Spain",LA SAREB,ATURAT en porta,#ArgentinaSeQueda,Desnonaments por lloguer,42.3225318,2.7885626,
21/03/2018,"C/ d'Irlanda, 88","Carrer d'Irlanda, 88, 08922 Santa Coloma de Gramenet, Barcelona, Spain",11:30,PAHV Gramenet,41.4486128,2.214194,,,,,,,,,,
21/03/2018,"Plaça Alta de Can Clos, 13","Plaça Alta de Can Clos, 13, 08038 Barcelona, Spain",09:00,PAH Barcelona,41.3615438,2.1468344,21/3/2018,Plaza Alta de Can Clos nº 13 4º 1ª Zona Franca Barcelona,"Plaça Alta de Can Clos, 13, 08038 Barcelona, Spain",LA SAREB,ATURAT en porta,#SaraSeQueda,Desnonaments per ocupació,41.3615438,2.1468344,x
02/04/2018,,,,,,,2/4/2018,"Riera Blanca, 71 – 73, entlº 1ª de Barcelona (08028)","Carrer de la Riera Blanca, 71, 1ª, 08028 Barcelona, Spain","UNIÓN DE CREDITO INMOBILIARIO, S.A.",SUSPES,#FattouchSeQueda,Desnonaments per lloguer,41.37305,2.1255122,
02/04/2018,,,,,,,2/4/2018,"C/ Albareda, 14, 4º2ª de L’Hospitalet de Ll. (Torrassa 08904)","Carrer d'Albareda, 14, 08004 Barcelona, Spain",BANCO DE SANTANDER,ATURAT en porta,#PedroSeQueda,Desnonaments per lloguer,41.3738438,2.1738226,
03/04/2018,,,,,,,3/4/2018,"Foradada, 86, 2º1ª  de Barcelona (08033 Trinitat Vella)",,LA SAREB,SUSPÉS,,Desnonaments per lloguer,,,
03/04/2018,carrer Les Agudes 114,"Carrer de les Agudes, 114, 08033 Barcelona, Spain",09:00,AAVV Ciutat Meridiana,41.4614813,2.1732358,,,,,,,,,,
03/04/2018,carrer Japó 21,"Carrer del Japó, 21, 08016 Barcelona, Spain",09:00,500x20,41.441161,2.1779243,,,,,,,,,,
04/04/2018,"Radas, 67","Carrer de Radas, 67, 08004 Barcelona, Spain",09:00,Sindicat de Barri de Poble Sec,41.372221,2.1605371,,,,,,,,,,
04/04/2018,Comte Borrell 59,"Carrer del Comte Borrell, 59, 08015 Barcelona, Spain",09:00,Sindicat de Barri de Poble Sec,41.37749,2.1621463,,,,,,,,,,
04/04/2018,Mare de Deu del Port 385-387,"Carrer de la Mare de Déu de Port, 385, 08038 Barcelona, Spain",09:00,XSM La Marina - Zona Franca,41.3636628,2.1392175,,,,,,,,,,
04/04/2018,"Sant Antoni Abat, 36","Carrer de Sant Antoni Abat, 36, 08001 Barcelona, Spain",10:00,Raval Resistim,41.3790993,2.164385,,,,,,,,,,
06/04/2018,Ventura Plaja 31,"Carrer de Ventura Plaja, 31, 08028 Barcelona, Spain",Per confirmar,GHAS,41.3743034,2.1259105,,,,,,,,,,
06/04/2018,Ventura Plaja 31,"Carrer de Ventura Plaja, 31, 08028 Barcelona, Spain",10:00,GHAS,41.3743034,2.1259105,,,,,,,,,,
09/04/2018,,,,,,,9/4/2018,"C/ Foradada, 83, 3º1ª de Barcelona (08033 Trinitat Vella)","Carrer de la Foradada, 83, 08033 Barcelona, Spain","BUDMAC INVESTMENTS, S.L.U.  PIS ADJUDICAT",SUSPÉS –,,Desnonaments per lloguer,41.4530495,2.1937107,
09/04/2018,"C/ Vall d'Ordessa, 3 (Metro Vilapicina)","Carrer de la Vall d'Ordesa, 3, 08031 Barcelona, Spain",09:00,500x20,41.4310181,2.1666022,,,,,,,,,,
09/04/2018,"C/ Eduard Tubau, 36 (Metro Llucmajor)","Carrer d'Eduard Tubau, 36, 08016 Barcelona, Spain",09:00,500x20,41.4381295,2.1751369,,,,,,,,,,
09/04/2018,"C/ de Sant Salvador, 109","Carrer de Sant Salvador, 109, 08024 Barcelona, Spain",11:00,PAH Barcelona,41.4083647,2.1558878,9/4/2018,"C/ Sant Salvador, 109-111, pral. 2ª de Barcelona (08024 Gracia)","Carrer de Sant Salvador, 109, 08024 Barcelona, Spain","PERMABAL 3000, S.L.    ATURAT en porta",ATURAT en porta,#SoluciónParaSonia,Desnonaments per lloguer,41.4083647,2.1558878,x
09/04/2018,"C/ de Sant Francesc, 24-26","Carrer de Sant Francesc, 24, 08005 Barcelona, Spain",09:30,PAHV Gramanet,41.3985346,2.2060857,,,,,,,,,,
10/04/2018,"C/ de Ricart, 30","Carrer de Ricart, 30, 08004 Barcelona, Spain",09:00,500x20,41.3732618,2.1577658,,,,,,,,,,
